,Zipcode,Store,Distance
86,95073,SAFEWAY PHARMACY #1929,0.39
87,94546,Walgreens Co. #101,0.34
88,94546,Rite Aid #RA105922,0.77
89,94403,Walgreens Co. #5006,0.80
90,94526,Walgreens Co. #2560,0.44
91,95003,"CVS Pharmacy, Inc. #03952",0.66
92,95003,SAFEWAY PHARMACY #640,0.76
93,94402,Rite Aid #RA105902,0.56
94,94401,Walgreens Co. #3296,0.40
95,94605,Walgreens Co. #15330,0.14
96,95060,SAFEWAY PHARMACY #2607,1.03
97,95020,"CVS Pharmacy, Inc. #16971",1.42
98,95020,Walgreens Co. #9516,1.44
99,95020,"CVS Pharmacy, Inc. #09945",1.57
100,94507,Rite Aid #RA105907,0.35
101,95363,Walgreens Co. #9955,0.64
102,95010,"CVS Pharmacy, Inc. #09597",0.82
103,94619,Walgreens Co. #1536,0.34
104,94502,SAFEWAY PHARMACY #951,0.59
105,94010,Walgreens Co. #6655,1.24
106,94010,Walgreens Co. #12257,2.32
107,94010,SAFEWAY PHARMACY #1547,2.38
108,95062,SAFEWAY PHARMACY #799,0.20
109,95062,Walgreens Co. #3158,0.45
110,94517,Walgreens Co. #2112,0.31
111,94517,SAFEWAY PHARMACY #1195,0.33
112,94019,Rite Aid #RA105885,0.12
113,94019,"CVS Pharmacy, Inc. #09216",0.27
114,94601,Walgreens Co. #1537,0.96
115,94513,Walgreens Co. #9978,0.48
116,94513,SAFEWAY PHARMACY #2621,2.67
117,94513,"CVS Pharmacy, Inc. #09511",2.71
118,94513,SAFEWAY PHARMACY #1234,2.78
119,94513,Walgreens Co. #6871,3.43
120,95076,"CVS Pharmacy, Inc. #09796",0.55
121,95076,"CVS Pharmacy, Inc. #03039",1.88
122,95019,Walgreens Co. #2810,0.35
123,95019,Rite Aid #RA105969,0.69
124,94602,SAFEWAY PHARMACY #908,0.30
125,94602,"CVS Pharmacy, Inc. #09226",0.33
126,94505,SAFEWAY PHARMACY #1917,0.09
127,94030,Walgreens Co. #7970,0.27
128,94030,SAFEWAY PHARMACY #2878,0.34
129,94030,Walgreens Co. #625,0.37
130,94606,Walgreens Co. #11706,0.14
131,94596,SAFEWAY PHARMACY #917,0.23
132,95360,Rite Aid #RA106013,0.03
133,94501,Walgreens Co. #9248,0.20
134,94501,"CVS Pharmacy, Inc. #09128",0.54
135,94610,Walgreens Co. #10526,0.31
136,94549,SAFEWAY PHARMACY #783,0.20
137,94549,"CVS Pharmacy, Inc. #09938",0.27
138,94611,"CVS Pharmacy, Inc. #09130",0.59
139,94611,Rite Aid #RA105952,2.76
140,94066,Walgreens Co. #2939,1.42
141,94563,"CVS Pharmacy, Inc. #09939",0.13
142,94563,Rite Aid #RA105933,0.55
143,94563,THE MEDICINE SHOPPE #MS1000217,0.61
144,94531,Rite Aid #RA106356,1.59
145,94531,SAFEWAY PHARMACY #1259,2.07
146,94531,Walgreens Co. #4724,2.25
147,94080,Walgreens Co. #3346,1.03
148,94080,Walgreens Co. #15397,2.30
149,94597,Walgreens Co. #4026,0.18
150,94597,Rite Aid #RA105948,1.54
151,94609,Walgreens Co. #3170,0.55
152,94124,Bayview Child Health Center,1.11
153,94521,"CVS Pharmacy, Inc. #09509",1.98
154,94521,SAFEWAY PHARMACY #1192,2.01
155,95337,SAFEWAY PHARMACY #3124,0.23
156,95337,Rite Aid #RA106005,1.04
157,95337,Modern Urgent Care - Manteca,1.39
158,94014,Walgreens Co. #1807,0.19
159,94014,Walgreens Co. #5365,1.37
160,94044,Walgreens Co. #11261,0.10
161,94044,Rite Aid #RA105891,1.03
162,94044,Rite Aid #RA105890,3.93
163,94704,"CVS Pharmacy, Inc. #10121",0.84
164,94509,Rite Aid #RA105908,0.46
165,94523,SAFEWAY PHARMACY #2941,0.47
166,94523,SAFEWAY PHARMACY #1541,1.58
167,94523,Walgreens Co. #5864,1.61
168,94523,Rite Aid #RA105915,1.72
169,94107,Walgreens Co. #1297,0.33
170,94703,Walgreens Co. #4614,1.07
171,94110,Walgreens Co. #4231,0.42
172,94110,Walgreens Co. #9886,0.81
173,94110,Walgreens Co. #3711,0.89
174,94110,Walgreens Co. #1054,1.21
175,94702,Walgreens Co. #2609,1.23
176,94709,SAFEWAY PHARMACY #691,0.06
177,94112,Walgreens Co. #1393,0.62
178,94015,"CVS Pharmacy, Inc. #09752",0.32
179,94015,Walgreens Co. #324,2.27
180,94105,Walgreens Co. #4275,0.13
181,94105,Walgreens Co. #3624,0.30
182,94105,Walgreens Co. #7044,0.35
183,94519,SAFEWAY PHARMACY #955,0.16
184,94103,South of Market Health Center,0.18
185,94103,Walgreens Co. #4609,0.39
186,94103,Walgreens Co. #3185,0.41
187,94103,SAFEWAY PHARMACY #1490,0.98
188,94103,Walgreens Co. #4529,1.42
189,94104,Walgreens Co. #2521,0.16
190,94710,Walgreens Co. #2314,0.69
191,94565,Walgreens Co. #7376,1.71
192,94565,SAFEWAY PHARMACY #1215,4.56
193,94565,Rite Aid #RA105935,4.58
194,94565,Walgreens Co. #13026,4.59
195,94127,Walgreens Co. #13670,0.62
196,94102,"CVS Pharmacy, Inc. #11107",0.15
197,94102,Walgreens Co. #4558,0.30
198,94102,Walgreens Co. #890,0.76
199,94102,Walgreens Co. #7043,0.87
200,94108,Walgreens Co. #3383,0.32
201,94114,Walgreens Co. #1327,0.30
202,94114,Magnet,0.30
203,94114,SAFEWAY PHARMACY #1507,0.62
204,94114,Walgreens Co. #2088,0.66
205,94706,"CVS Pharmacy, Inc. #09595",0.53
206,94117,Walgreens Co. #6557,1.28
207,94109,Walgreens Co. #887,0.08
208,94109,Walgreens Co. #3358,0.31
209,94109,"CVS Pharmacy, Inc. #07955",0.35
210,94109,Walgreens Co. #5599,0.45
211,94520,Rite Aid #RA105913,1.40
212,94520,Walgreens Co. #15003,1.53
213,94132,"CVS Pharmacy, Inc. #17709",0.50
214,94132,Walgreens Co. #2005,0.90
215,94115,SAFEWAY PHARMACY #995,0.21
216,94115,Walgreens Co. #2152,0.51
217,94115,Walgreens Co. #2866,0.55
218,94133,North East Medical Service-Stockton Clinic,0.07
219,94133,Walgreens Co. #893,0.14
220,94133,Walgreens Co. #15127,0.50
221,94553,Walgreens Co. #6101,0.14
222,94553,Rite Aid #RA105927,1.60
223,94553,SAFEWAY PHARMACY #972,3.51
224,94116,SAFEWAY PHARMACY #909,0.40
225,94116,"CVS Pharmacy, Inc. #05131",0.87
226,94116,Walgreens Co. #4570,1.02
227,94123,Walgreens Co. #6625,0.09
228,94123,Walgreens Co. #1403,0.17
229,94123,SAFEWAY PHARMACY #1711,0.49
230,94530,SAFEWAY PHARMACY #2940,1.78
231,94118,Walgreens Co. #896,0.47
232,94118,SAFEWAY PHARMACY #2646,0.92
233,94118,Walgreens Co. #3849,0.97
234,94118,Walgreens Co. #13667,1.39
235,94122,Walgreens Co. #2705,0.60
236,94122,Walgreens Co. #3869,0.80
237,94122,SAFEWAY PHARMACY #985,1.09
238,95336,Walgreens Co. #10454,1.25
239,94804,"CVS Pharmacy, Inc. #03078",0.66
240,94803,Walgreens Co. #4049,0.72
241,94561,Rite Aid #RA105931,1.92
242,94561,LUCKY PHCY #737 RX #116501,1.94
243,95204,Walgreens Co. #2680,0.28
244,95204,2800 N. California St Suite 3,0.71
245,94564,Walgreens Co. #11614,1.31
246,95350,"CVS Pharmacy, Inc. #01467",0.09
247,95350,Walgreens Co. #7313,1.38
248,95350,"CVS Pharmacy, Inc. #09171",1.41
249,95350,Rite Aid #RA106008,1.93
250,95356,Walgreens Co. #6355,0.75
251,94547,Rite Aid #RA105923,0.14
252,95307,Modern Urgent Care - Ceres,0.41
253,95307,Rite Aid #RA106003,1.09
254,94806,Walgreens Co. #13796,1.32
255,94806,Walgreens Co. #15947,1.65
256,95351,Walgreens Co. #4331,0.18
257,95351,"CVS Pharmacy, Inc. #09308",1.70
258,95351,"CVS Pharmacy, Inc. #09874",3.18
259,95351,Walgreens Co. #2902,3.24
260,95205,Walgreens Co. #13984,0.10
261,95205,Rite Aid #RA105996,0.54
262,95207,Rite Aid #RA105998,0.60
263,95207,"CVS Pharmacy, Inc. #09830",0.76
264,95207,Walgreens Co. #15398,0.76
265,94801,Walgreens Co. #2506,0.57
266,93906,Walgreens Co. #2606,0.18
267,93906,SAFEWAY PHARMACY #1110,0.22
268,93906,"CVS Pharmacy, Inc. #09186",0.82
269,93906,"CVS Pharmacy, Inc. #01300",1.41
270,94510,Rite Aid #RA105910,0.41
271,95322,PIONEER DRUG #2 #MS1000184,10.15
